start_time_stamp,end_time_stamp,service_name,pods_number,cpu_quota_cores,min_cpu_quota_percentage_across_pods,max_cpu_quota_percentage_across_pods,min_cpu_cores_used_across_pods,max_cpu_cores_used_across_pods,memory_quota_mb,min_memory_quota_percentage_across_pods,max_memory_quota_percentage_across_pods,min_memory_used_bytes_across_pods,max_memory_used_bytes_across_pods,jvm_heap_max_mb,min_jvm_heap_used_percentage_across_pods,min_jvm_heap_used_bytes,queries_per_second,success_rate,latency_ms
1699134700,1699134700,acmeair-customerservice,1.0,0.5,37.219,37.219,0.18606,0.18606,512,76.621781,76.621781,411360051.2,411360051.2,512,69.316432,185479325.6,1671.0,73.18970676241771,1.902692747854
1699134700,1699134700,acmeair-flightservice,1.0,0.5,97.024,97.024,0.48509,0.48509,512,65.700684,65.700684,352727859.2,352727859.2,512,65.677775,137348893.6,2113.0,66.77709417889257,2.176560471841
1699134700,1699134700,acmeair-mainservice,1.0,0.5,1.180001,1.180001,0.00588,0.00588,512,28.005982,28.005982,150355968.0,150355968.0,512,48.181829,35365616.0,0.0,,0.0
1699126740,1699126740,acmeair-authservice,1.0,0.5,1.293834,1.293834,0.006447,0.006447,512,59.012604,59.012604,316821504.0,316821504.0,512,34.247787,57054248.0,16.0,100.0,1.147988888889
1699126740,1699126740,acmeair-bookingservice,1.0,0.5,2.069001,2.069001,0.010317,0.010317,512,48.565929,48.565929,260736341.333334,260736341.333334,512,50.421439,70780664.0,16.0,100.0,11.320866972223
1699126740,1699126740,acmeair-customerservice,1.0,0.5,1.277334,1.277334,0.006362,0.006362,512,75.052643,75.052643,402935808.0,402935808.0,512,57.710065,174278557.793104,16.0,100.0,11.369372361112
1699126740,1699126740,acmeair-flightservice,1.0,0.5,1.713334,1.713334,0.00854,0.00854,512,54.902471,54.902471,294755396.266667,294755396.266667,512,68.341233,120435228.571429,16.0,100.0,6.711828027778
1699126740,1699126740,acmeair-mainservice,1.0,0.5,1.209334,1.209334,0.006019,0.006019,512,27.42157,27.42157,147218432.0,147218432.0,512,52.912107,39115067.2,0.0,100.0,0.0
1699125020,1699125020,acmeair-authservice,1.0,0.5,1.274,1.274,0.00634,0.00634,512,59.010315,59.010315,316809216.0,316809216.0,512,51.074139,85085689.6,2.0,100.0,1.051981
1699125020,1699125020,acmeair-bookingservice,1.0,0.5,3.610001,3.610001,0.01803,0.01803,512,46.799469,46.799469,251252736.0,251252736.0,512,69.81658,98007196.8,3.0,100.0,14.504905
